_id,company_name,company_city,company_scale,company_business,company_introduce
ObjectId(5cc57fd87c7ac0b71e84a807),海平方,西安,50-150人,移动互联网,西安海平方网络科技有限公司是以BIM（Building Information Modeling）应用研发为核心的新型互联网企业，由深圳市建筑设计研究总院西安软件研发部和深圳市深装总装饰股份有限公司的BIM团队演化而来。公司主要研发围绕建筑设计和施工各个阶段的服务应用展开，在建筑服务领域具有深厚的技术沉淀，在建筑设计、施工方面具有多年高水平项目的知识积累，在信息服务方面具有高水平支撑团队。  公司基于多年对建筑行业的理解和BIM技术的成功应用，针对业主、设计单位、施工单位和制造商等各参与方提供设计、施工和运维阶段等全流程的BIM支持服务。在技术支撑方面，结合人工智能、大数据挖掘及行业知识库构建了贴合国内建筑行业实际标准、操作、工料的解决方案，以自动化实现、关联补全为核心，提供量身定制的优良服务。 公司秉承创新、务实的发展理念，用海纳百川的宽广胸怀为人才、技术、思想构建包容宽厚的环境，求同存异，多元创新；在相关技术平面内用务实求真、细致持久的态度深入钻研，构筑坚实的发展基础；在建筑方圆内用务实砺精、追求极致的工匠精神与行业共同发展。 公司在建筑相关的三维信息处理、智能规划、统筹计划、自动设计、大数据挖掘、云计算、增强现实等领域均建有专门团队进行技术支撑，并和西北工业大学、西安交通大学、西安电子科技大学、美国天宝公司等单位建立联合研发团队，具有雄厚的研发实力。
ObjectId(5cc57fd9ded5f717ac6081c2),水良青争商贸有限公司,西安,50-150人,零售贸易、其他,"日用百货、服装服饰、鞋帽、皮革制品、玩具、洗涤用品、化妆品、摄影
器材、音响设备及器材、体有用品(除弓弩)、文化办公用品及耗材、工
艺品、橡胶制品、塑料制品、化工原料及产品及化学试剂(以上除易燃易
爆、危险及监控化学品、易制毒品)、家用电器、阀门、管道配件、电子
产品、通信设备、通讯器材、电线电缆、机电设备及配件、机械设备及配
件、计算机软硬件及配件、金属材料及制品(除专控)、仪器仪表、建筑等....."
ObjectId(5cc57fda4884a0cfa814d52a),Wisdom Garden,西安,50-150人,教育,"Wisdom Garden Holdings Limited是一家专注于教育行业咨询及信息化服务的公司，公司面向学校和培训机构提供包含业务咨询和软硬件在内的一体化解决方案，下设台北子公司（台湾智园有限公司）及西安子公司（西安智园软件开发管理有限公司）。

 我们的团队有从事教育行业信息化超过10年的业务专家，也有国际顶级学府教育科技专业背景的咨询师，以及具有丰富的敏捷软件开发经验的研发团队。我们致力于结合领先科技和不断创新的先进教育理念，通过优秀的产品帮助客户提供更优质的一站式服务。

 我们的客户遍布澳门、台湾、大陆，服务的客户包含高等教育、职业教育、线上教育、中小学教育，我们为客户提供具有前瞻性的战略咨询及架构设计，帮助客户进行校舍电路设计及教学硬件配套供应；协助客户梳理并优化现有组织体系的工作流程，通过流程更新和软件管理提高组织的运转效率；同时我们提供先进的在线教育平台及云服务，帮助整合学校教育资源。"
ObjectId(5cc57fdafb8b2f061e45cb1e),神航星云,西安,50-150人,"移动互联网,人工智能",西安神航星云科技有限公司是一家年轻充满活力的企业，公司以社会价值为己任，以科技创新为引擎，坚持以人为本的发展理念，以信息技术、材料技术、能源技术三大基础为核心，深耕智慧城市、工业4.0等高科技领域，是个人创造价值实现自我的良好平台，欢迎有理想有抱负的年轻人加盟！
ObjectId(5cc57fdcfb8b2f061e45cb1f),指舞科技,西安,15-50人,"社交网络,文化娱乐","西安指舞飞游网络科技有限公司（下文简称指舞科技）是西北更大的新媒体内容和互联网轻社交产品矩阵集团，专注于社交轻产品和轻内容创作及运营。旗下公众号，小程序，app多端合计用户超过一亿。

▷发展历程
2014年9月初创团队成立，致力于社交轻应用研发与运营；
2016年9月获得数百万天使轮融资，组建基于H5的轻游戏平台 - 248游戏；
2018年3月获得深圳量子云数千万人民币战略投资；

▷获得荣誉：
2015年公司旗下“微测试”获得陕西省“最佳微信公众号团队”称号；
2017年公司旗下“趣测”产品获得“小程序行业社交奖”，在全国百强小程序中排名TOP30；
2017，2018年公司旗下“248游戏”产品连续两年获得“年度最具影响力H5游戏运营企业”称号；
2018年获得西安市雏鹰企业称号；
2018年被认定为科技型中小企业；
2018年成为陕西动漫游戏行业协会理事单位；
2018年被评为陕西动漫游戏行业协会“优秀会员”；

▷旗下主要产品：
1. 公众号矩阵：超过10个粉丝规模百万级微信公众号，总粉丝超过2500万；
2. 小程序矩阵：超过20个用户规模百万级小程序，总用户量超过7000万；
3. 产品矩阵—【趣测】、【星座铺】 、【探me】 、【248游戏】，多端累计用户数超过一亿；
4. 新媒体矩阵：占星女王，情话铺等多个精品星座，情感类公众号；
5. 国内领先的女性H5轻游戏平台 - 248游戏，累计玩家超过2000万；

▷旗下主要业务：
1. 付费阅读，提供精品网络文学付费阅读服务；
2. 付费咨询，提供心理，命理，星座等付费咨询服务；
3. 电商，基于微信的精品社交电商业务；
4. H5游戏，基于HTML5的手机页游分发业务。"
ObjectId(5cc57fddfb8b2f061e45cb20),西安超斯塔科技有限公司,西安,150-500人,"移动互联网,广告营销",西安超斯塔科技有限公司是全球领先的综合移动互联网广告服务商。公司为全球160多个国家和地区的移动互联网app客户提供创新技术与产品解决方案，让全世界用户享有连接世界的便捷。2018年3月30日龙域之星作为西安超斯塔科技的全资控股公司被吉宏股份（股票代码：002803）全资收购，我们将借助上市公司的资本，管理和创新力量做大做强。
ObjectId(5cc57fdefb8b2f061e45cb21),北京互联企信信息技术有限公司,西安,2000人以上,其他,"公司简介：法国Teleperformance作为全球第一CRM外包服务供应商，为了更进一步推动全球拓展策略，更好的服务于全球客户，现在北京设立了外包客服中心—Teleperformance China（北京互联企信信息技术有限公司）并首期成功建成可扩充坐席500个（后期可扩充至2000个）；依靠Teleperformance集团为强大的后盾，采用全球统一的服务标准和运营考核指标，Teleperformance China将继续竭力为我们的客户提供专业、系统的呼叫中心培训、呼出、呼入业务，致力于协助客户实现最大的商业价值。
Teleperformance成立于1978年，总部设在法国巴黎，并在欧洲上市（欧洲证券交易所股票代码：5180）目前的坐席数量位居世界第一（坐席数量超过46000个，员工总数超过60000人）；其业务遍及全球41个国家和地区；全球客户超过1000家，拥有268个客户联络中心并可提供51种语言及方言服务；每年客户联络超过10亿次。Teleperformance曾获得过邓白氏在6275个竞争对手中评选颁发的5A1级最高荣誉。领先的CRM呼叫中心经验；全球性的业务分布；灵活的解决方案和合作模式；合理的成本控制；统一的运营标准文化；良好的财务状况及资深的行业专家和管理团队是Teleperformance成功的基础。
28年来Teleperformance已深入全球电信、金融、保险、电子商务、媒体、IT、能源设施、交通旅游、制造、物流、制药等行业，并成功为大型跨国公司如：Sprint、France、Telecom、Verizon、AIG、Aegon、Microsoft、Dell、Motorola、Citigroup等提供以CRM为核心的服务体系，服务类型包括：客户挖掘、客户关怀、客户增值、技术支持、债务追讨和市场调研；其中90%的客户和我们有2--15年的合作基础。
Teleperformance在中国以外的41个国家和地区正在为很多跨国集团提供着服务；在此我们很真诚的希望与许多客户的合作在中国可以延续，并且借助中国强大的市场资源和Teleperformance集团丰富的运营经验，Teleperformance China将继续为在中国的全球客户提供专业的服务。
更多详情请浏览公司主页www.teleperformance.com"
ObjectId(5cc57fe27e4db59a7044d9b4),星垂智能,西安,15-50人,"移动互联网,人工智能","星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于隐藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。 公司提供完善的福利制度和行业内 Top 5% 的薪资。

我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。"
ObjectId(5cc57fe27e4db59a7044d9b5),北京互联企信信息技术有限公司,西安,2000人以上,其他,"公司简介：法国Teleperformance作为全球第一CRM外包服务供应商，为了更进一步推动全球拓展策略，更好的服务于全球客户，现在北京设立了外包客服中心—Teleperformance China（北京互联企信信息技术有限公司）并首期成功建成可扩充坐席500个（后期可扩充至2000个）；依靠Teleperformance集团为强大的后盾，采用全球统一的服务标准和运营考核指标，Teleperformance China将继续竭力为我们的客户提供专业、系统的呼叫中心培训、呼出、呼入业务，致力于协助客户实现最大的商业价值。
Teleperformance成立于1978年，总部设在法国巴黎，并在欧洲上市（欧洲证券交易所股票代码：5180）目前的坐席数量位居世界第一（坐席数量超过46000个，员工总数超过60000人）；其业务遍及全球41个国家和地区；全球客户超过1000家，拥有268个客户联络中心并可提供51种语言及方言服务；每年客户联络超过10亿次。Teleperformance曾获得过邓白氏在6275个竞争对手中评选颁发的5A1级最高荣誉。领先的CRM呼叫中心经验；全球性的业务分布；灵活的解决方案和合作模式；合理的成本控制；统一的运营标准文化；良好的财务状况及资深的行业专家和管理团队是Teleperformance成功的基础。
28年来Teleperformance已深入全球电信、金融、保险、电子商务、媒体、IT、能源设施、交通旅游、制造、物流、制药等行业，并成功为大型跨国公司如：Sprint、France、Telecom、Verizon、AIG、Aegon、Microsoft、Dell、Motorola、Citigroup等提供以CRM为核心的服务体系，服务类型包括：客户挖掘、客户关怀、客户增值、技术支持、债务追讨和市场调研；其中90%的客户和我们有2--15年的合作基础。
Teleperformance在中国以外的41个国家和地区正在为很多跨国集团提供着服务；在此我们很真诚的希望与许多客户的合作在中国可以延续，并且借助中国强大的市场资源和Teleperformance集团丰富的运营经验，Teleperformance China将继续为在中国的全球客户提供专业的服务。
更多详情请浏览公司主页www.teleperformance.com"
ObjectId(5cc57fe3850cb22b8a2612f9),北京瑞达恒西安分公司,西安,500-2000人,"分类信息,企业服务",瑞达恒建筑咨询公司（RCC China Ltd.）在北京、上海、广州、天津、重庆、武汉、杭州、南京、西安和呼和浩特、成都等十一个城市设有公司，是中国工程信息行业内在信息搜集网点、信息量和信息准确 性均保持领先地位的专业咨询公司。
ObjectId(5cc57fe6c1bb45b4f15cc62a),星垂智能,西安,15-50人,"移动互联网,人工智能","星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于隐藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。 公司提供完善的福利制度和行业内 Top 5% 的薪资。

我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。"
ObjectId(5cc57fe7c1bb45b4f15cc62b),新华保险,西安,2000人以上,金融,"新华人寿保险股份有限公司，简称“新华保险”，成立于1996年9月，总部位于北京市，是一家大型寿险企业。2011年，新华保险在香港联合交易所和上海证券交易所同步上市，A股代码为601336，H股代码为1336。新华保险2013年实现保险业务收入人民币1036.4亿元，公司总资产规模达到5658.49亿元，实现保费收入正增长，继续保持国内寿险行业三甲地位。2014年公司实现保险业务收入人民币1098.68亿元，公司总资产规模达到6437.09亿元，实现保费收入正增长，继续保持行业三甲地位，并在2014年首次入围福布斯世界500强企业。[1] 2016年8月，新华保险在""2016中国企业500强""中排名第102位。2016年新华保险斩获 “最佳技术保险公司奖”"
ObjectId(5cc57fe8496ef7c995b24bdf),知韬科技,西安,少于15人,"移动互联网,社交网络",西安知者得韬网络科技有限公司成立于 2017 年，目前正在紧锣密鼓开发面向行业内垂直 LBS 社交产品。我们是一个专业、热情的创业团队，希望您也同样专注、追求极致。我们始终认为有效率的工作最重要，因此我们坚持朝九晚五、周末双休。我们的公司在西安国际港务区，这地方偏了？没问题，早晚班车接送绝对让您省心省力。
ObjectId(5cc57fe9496ef7c995b24be0),知韬科技,西安,少于15人,"移动互联网,社交网络",西安知者得韬网络科技有限公司成立于 2017 年，目前正在紧锣密鼓开发面向行业内垂直 LBS 社交产品。我们是一个专业、热情的创业团队，希望您也同样专注、追求极致。我们始终认为有效率的工作最重要，因此我们坚持朝九晚五、周末双休。我们的公司在西安国际港务区，这地方偏了？没问题，早晚班车接送绝对让您省心省力。
